index,id,car_year,brand,brand_cod,model,model_cod,version,engine,engine_power,doors,km,fuel_type,fuel_type_cod,traction_control,traction_control_cod,passenger_capacity,transmission,transmission_cod,usd_price,is_car_shop,seller_country,seller_state,seller_city,Latitude,longitude
22,MLA1754698190,2011,Volkswagen,7,Gol,27,1.6 I Power 701,1.6,92.0,3,210000,Nafta,4,Delantera,2,5.0,Manual,2,3984.06374501992,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
23,MLA1778950540,2008,Volkswagen,7,Gol,27,1.6 I Power 601,1.6,92.0,3,86000,Nafta,4,Delantera,2,5.0,Manual,2,6300.0,0,Argentina,Buenos Aires,Tigre,-34.4226513,-58.5808967
24,MLA1427243085,1997,Volkswagen,7,Gol,27,1.6 Gli Aa Dh Ll,1.6,90.0,3,115500,Nafta,4,Delantera,2,5.0,Manual,2,2788.8446215139443,0,Argentina,Buenos Aires,Pilar,-34.4570918,-58.9141609
25,MLA1426800739,2005,Volkswagen,7,Gol,27,Country 1.6,1.6,83.0,5,131000,Nafta,4,Delantera,2,5.0,Manual,2,6000.0,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
26,MLA1772799852,2021,Volkswagen,7,Gol,27,1.6 Trendline,1.6,83.0,5,75000,Nafta,4,Delantera,2,5.0,Manual,2,9800.796812749004,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
27,MLA1761686810,2011,Volkswagen,7,Gol,27,1.6 I Power 701,1.6,92.0,5,100000,Nafta,4,Delantera,2,5.0,Manual,2,6000.0,0,Argentina,Buenos Aires,Moreno,-34.6396556,-58.7898326
28,MLA1423902925,2008,Volkswagen,7,Gol,27,1.6 I Power 601,1.6,92.0,3,130000,Nafta,4,Delantera,2,5.0,Manual,2,5577.689243027889,0,Argentina,Buenos Aires,La Matanza,-34.8195526,-58.1975499
29,MLA1766433954,2005,Volkswagen,7,Gol,27,GOL DUBLIN,1.6,83.0,5,101000,Nafta,4,Delantera,2,5.0,Manual,2,6000.0,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
30,MLA1734364286,2008,Volkswagen,7,Gol,27,3p 1.6,1.6,83.0,3,135000,Nafta,4,Delantera,2,5.0,Manual,2,4374.502788844621,0,Argentina,Entre Ríos,C. del Uruguay,-32.4957344,-58.229638430910285
31,MLA1427026971,2012,Volkswagen,7,Gol,27,3P,1.4,83.0,3,88900,Nafta,4,Delantera,2,5.0,Manual,2,3984.06374501992,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
32,MLA1751971442,2018,Volkswagen,7,Gol,27,Sedan 5 puertas 1.6,1.6,83.0,5,56500,Nafta,4,Delantera,2,5.0,Manual,2,9960.1593625498,0,Argentina,Formosa,Pirané,-25.7281876,-59.1064419
33,MLA1734209044,2008,Volkswagen,7,Gol,27,3p 1.6,1.6,83.0,3,135000,Nafta,4,Delantera,2,5.0,Manual,2,4374.501992031873,0,Argentina,Entre Ríos,C. del Uruguay,-32.4957344,-58.229638430910285
34,MLA1427382991,2020,Volkswagen,7,Gol,27,gol trend trendline,1.6,83.0,5,23000,Nafta,4,Delantera,2,5.0,Manual,2,13500.0,0,Argentina,Buenos Aires,Berazategui,-34.7632677,-58.2116604
35,MLA1773246342,2018,Volkswagen,7,Gol,27,GOL TREND CONFORTLINE MSI 1.6,1.6,83.0,4,57000,Nafta,4,Delantera,2,5.0,Manual,2,9482.07171314741,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
36,MLA1770025800,2005,Volkswagen,7,Gol,27,confortline 1.6  5 puertas,1.6,83.0,5,172746,Nafta,4,Delantera,2,5.0,Manual,2,5500.0,0,Argentina,Buenos Aires,General San Martín,-34.5762765,-58.5388435
37,MLA1778266830,1996,Volkswagen,7,Gol,27,2.0 Gti,1.6,83.0,2,87000,Nafta,4,Delantera,2,5.0,Manual,2,7000.0,0,Argentina,Buenos Aires,Quilmes,-34.7303025,-58.268868
38,MLA1427743535,2010,Volkswagen,7,Gol,27,1.6 I Power 701,1.6,92.0,3,180000,Nafta,4,Delantera,2,5.0,Manual,2,4382.470119521912,0,Argentina,Córdoba,Juárez Celman,-32.3999413,-63.2589537
40,MLA1751579974,2012,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,5,8000,Nafta,4,Delantera,2,5.0,Manual,2,6900.0,0,Argentina,Buenos Aires,Vicente López,-34.5244484,-58.5036282
41,MLA1745032456,1994,Volkswagen,7,Gol,27,1.6 Gl,1.6,90.0,3,176000,Nafta,4,Delantera,2,5.0,Manual,2,3187.250199203187,0,Argentina,Buenos Aires,Castelar,-34.6555638,-58.6425128
42,MLA1751970542,2011,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,5,78000,Nafta,4,Delantera,2,5.0,Manual,2,6800.0,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
43,MLA1426897793,2014,Volkswagen,7,Gol,27,1.4 Power 83cv,1.4,83.0,3,80000,Nafta,4,Delantera,2,5.0,Manual,2,7500.0,0,Argentina,Buenos Aires,La Matanza,-34.8195526,-58.1975499
44,MLA1422032249,2010,Volkswagen,7,Gol,27,1.6 I Power 701,1.6,92.0,3,150000,Nafta,4,Delantera,2,5.0,Manual,2,6000.0,0,Argentina,Buenos Aires,Berazategui,-34.7632677,-58.2116604
45,MLA1423049395,2005,Volkswagen,7,Gol,27,1.6 Mi Deejay,1.6,90.0,3,160000,Nafta,4,Delantera,2,5.0,Manual,2,4223.107569721115,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
46,MLA1409420397,2010,Volkswagen,7,Gol,27,1.6 I Power 701,1.6,92.0,3,160000,Nafta,4,Delantera,2,5.0,Manual,2,4780.876494023904,0,Argentina,Buenos Aires,Quilmes,-34.7303025,-58.268868
47,MLA1778949112,2012,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,5,122000,Nafta,4,Delantera,2,5.0,Manual,2,4780.876494023904,0,Argentina,Buenos Aires,Berazategui,-34.7632677,-58.2116604
48,MLA1427446791,2012,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,5,121000,Nafta,4,Delantera,2,5.0,Manual,2,4541.832669322709,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
49,MLA1773083070,2013,Volkswagen,7,Gol,27,1.4 Power 83cv,1.4,83.0,5,37000,Nafta,4,Delantera,2,5.0,Manual,2,10000.0,0,Argentina,Buenos Aires,San Isidro,-34.4739792,-58.5264866
50,MLA1778187370,2011,Volkswagen,7,Gol,27,1.4 Power 83cv,1.4,83.0,3,132000,Nafta,4,Delantera,2,5.0,Manual,2,5500.0,0,Argentina,Buenos Aires,Ituzaingó,-34.6583293,-58.6671441
51,MLA1427677055,2013,Volkswagen,7,Gol,27,1.4 Power 83cv 3 p,1.4,83.0,3,167000,Nafta,4,Delantera,2,5.0,Manual,2,5500.0,0,Argentina,Buenos Aires,General Rodríguez,-34.6082302,-58.9522206
52,MLA1776573058,2013,Volkswagen,7,Gol,27,1.4 Power 83cv 3 p,1.4,83.0,3,144000,Nafta,4,Delantera,2,5.0,Manual,2,6500.0,0,Argentina,Buenos Aires,Lanús,-34.7033363,-58.3953235
53,MLA1423196955,2014,Volkswagen,7,Gol,27,1.4 Power 83cv,1.4,83.0,3,90000,Nafta,4,Delantera,2,5.0,Manual,2,6700.0,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
54,MLA1781276330,2004,Volkswagen,7,Gol,27,1.6 Trendline,1.6,90.0,3,219147,Nafta,4,Delantera,2,5.0,Manual,2,4700.0,0,Argentina,Buenos Aires,Quilmes,-34.7303025,-58.268868
55,MLA1775525646,2008,Volkswagen,7,Gol,27,1.9 Sd Power 701,1.9,64.0,5,150000,Diésel,0,Delantera,2,5.0,Manual,2,5000.0,0,Argentina,Buenos Aires,Pilar,-34.4570918,-58.9141609
56,MLA1427471429,1999,Volkswagen,7,Gol,27,1.0 Gl Mi 3 p,1.0,54.0,3,230000,Nafta,4,Delantera,2,5.0,Manual,2,4000.0,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
57,MLA1427092601,2011,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,5,82342,Nafta,4,Delantera,2,5.0,Manual,2,7300.0,0,Argentina,Buenos Aires,Ituzaingó,-34.6583293,-58.6671441
58,MLA1771014076,2011,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,5,78000,Nafta,4,Delantera,2,5.0,Manual,2,7000.0,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
59,MLA1423146267,1997,Volkswagen,7,Gol,27,1.8 Plus Mi,1.8,98.0,3,140000,Nafta,4,Delantera,2,5.0,Manual,2,1200.0,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
60,MLA1426317789,2006,Volkswagen,7,Gol,27,1.6 I Power 601 5 p,1.6,92.0,5,170300,Nafta,4,Delantera,2,5.0,Manual,2,4200.0,0,Argentina,Buenos Aires,Beccar,-34.4635418,-58.5343404
61,MLA1720130086,2008,Volkswagen,7,Gol,27,1.6 I Power 601,1.6,92.0,3,160000,Nafta,4,Delantera,2,5.0,Manual,2,4541.832669322709,0,Argentina,Buenos Aires,La Plata,-34.9206797,-57.9537638
62,MLA1771596480,2011,Volkswagen,7,Gol,27,1.4 Power 83cv,1.4,83.0,3,145000,Nafta,4,Delantera,2,5.0,Manual,2,5258.964143426295,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
